# Time,Theta 1,Theta 2,Tape Position,Tape Speed,Tension Arm 1 Height,Tension Arm 2 Height
5.7843005371e+02,5.2714633942e+00,4.6432600021e+00,2.3026182556e+02,7.7918915749e+00,3.8524588943e-01,1.2605042756e-01
5.7845001221e+02,5.1989784241e+00,4.5604195595e+00,2.3027122498e+02,7.0345025063e+00,3.9344263077e-01,1.2605042756e-01
5.7847003174e+02,5.1291780472e+00,4.4771962166e+00,2.3028123474e+02,7.9144134521e+00,3.9344263077e-01,1.1764705926e-01
5.7849005127e+02,5.0601449013e+00,4.3889870644e+00,2.3029125977e+02,7.9765105247e+00,4.0163934231e-01,1.2605042756e-01
5.7853002930e+02,4.9182429314e+00,4.2171707153e+00,2.3031063843e+02,7.9138431549e+00,4.0983605385e-01,1.1764705926e-01
5.7855004883e+02,4.8461413383e+00,4.1354813576e+00,2.3032034302e+02,7.0345664024e+00,4.0983605385e-01,1.2605042756e-01
5.7857000732e+02,4.7748064995e+00,4.0511069298e+00,2.3033099365e+02,7.9761438370e+00,4.1803279519e-01,1.2605042756e-01
5.7859002686e+02,4.7057733536e+00,3.9625144005e+00,2.3034165955e+02,8.0400667191e+00,4.3442621827e-01,1.1764705926e-01
5.7861004639e+02,4.6359729767e+00,3.8769898415e+00,2.3035169983e+02,7.9196271896e+00,4.3442621827e-01,1.2605042756e-01
5.7863000488e+02,4.5669393539e+00,3.7945330143e+00,2.3036137390e+02,7.0475249290e+00,4.3442621827e-01,1.2605042756e-01
5.7865002441e+02,4.4959888458e+00,3.7120766640e+00,2.3037203979e+02,8.3065872192e+00,4.4262295961e-01,1.2605042756e-01
5.7867004395e+02,4.4265718460e+00,3.6250181198e+00,2.3038140869e+02,7.7165784836e+00,4.3442621827e-01,1.2605042756e-01
5.7869000244e+02,4.3594560623e+00,3.5352745056e+00,2.3039013672e+02,6.9101676941e+00,4.3442621827e-01,1.2605042756e-01
5.7871002197e+02,4.2938742638e+00,3.4501333237e+00,2.3039982605e+02,6.7866277695e+00,4.3442621827e-01,1.2605042756e-01
5.7873004150e+02,4.2279090881e+00,3.3684439659e+00,2.3040986633e+02,7.8643507957e+00,4.3442621827e-01,1.2605042756e-01
5.7875000000e+02,4.1604099274e+00,3.2833027840e+00,2.3041954041e+02,7.0877056122e+00,4.3442621827e-01,1.2605042756e-01
5.7877001953e+02,4.0913767815e+00,3.1943266392e+00,2.3042924500e+02,7.0343623161e+00,4.2622950673e-01,1.2605042756e-01
5.7879003906e+02,4.0238776207e+00,3.1053502560e+00,2.3043894958e+02,7.0467228889e+00,4.1803279519e-01,1.2605042756e-01
5.7880999756e+02,3.9582955837e+00,3.0209763050e+00,2.3044862366e+02,7.1833257675e+00,4.1803279519e-01,1.2605042756e-01
